va,name,size
0x0040CFE0,?ShadowBox@@YGXJJJJ@Z,11
0x0040CFEB,FUN_0040cfeb,403
0x0040D180,?MenuSteelRect@@YGXJJJJ@Z,520
0x0040D390,FUN_0040d390,330
0x0040D4E0,FUN_0040d4e0,259
0x0040D5F0,?PushShellAlloc@@YGXXZ,37
0x0040D620,?PopShellAlloc@@YGXXZ,29
0x0040D640,?ShellShowMouse@@YGXXZ,98
0x0040D6B0,?ShellHideMouse@@YGXXZ,40
0x0040D6E0,?ShellMousePos@@YGXXZ,163
0x0040D790,?MouseInBox@@YIDPAUBOX@@@Z,12
0x0040D7A0,_VIEWSlew@12,80
0x0040D7F0,FUN_0040d7f0,18
0x0040D810,FUN_0040d810,2530
0x0040E240,FUN_0040e240,113
0x0040E2C0,FUN_0040e2c0,101
0x0040E330,FUN_0040e330,67
0x0040E380,_VIEWImmediateVisibility@0,21
0x0040E3A0,FUN_0040e3a0,165
0x0040E450,FUN_0040e450,27
0x0040E470,FUN_0040e470,1139
0x0040E930,_VIEWInTransition@0,36
0x0040E960,FUN_0040e960,564
0x0040EBA0,FUN_0040eba0,28
0x0040EBC0,FUN_0040ebc0,1635
0x0040F230,FUN_0040f230,63
0x0040F270,FUN_0040f270,89
0x0040F2D0,FUN_0040f2d0,700
0x0040F590,_VIEWChangeObj@12,54
0x0040F5D0,FUN_0040f5d0,219
0x0040F6B0,_DAMAGEInit2@0,167
0x0040F760,_DAMAGEInit@0,516
0x0040F970,_DAMAGEDoHit@12,3214
0x004106C0,FUN_004106c0,14
0x004106D0,_DAMAGEPorpoise@16,306
0x00410810,FUN_00410810,154
0x004108B0,_DAMAGEUpdate@0,2512
0x00411280,FUN_00411280,142
0x00411330,FUN_00411330,25
0x00411350,_DAMAGEReport@0,77
0x004113A0,FUN_004113a0,22
0x004113C0,_DAMAGEAutopilotAvail@0,175
0x00411470,FUN_00411470,124
0x004114F0,_ResetKeyboard,70
0x00411540,_ShutdownKeyboard,28
0x00411560,_GetKey2,87
0x004115F0,_GetKeyFlags,8
0x00411600,?KEYEvent@@YAXIIJ@Z,641
0x00411890,_KEYECS,21
0x004118B0,_KEYLCS,21
0x004118D0,_KEYPause,52
0x00411910,_OnTheGround@0,50
0x00411950,@TurnTowardAngle@12,75
0x004119A0,_MatchF24@12,72
0x00411A20,_LibraryStartup,15
0x00411A30,_LibraryShutdown,14
0x00411A40,_Angles@16,172
0x00411AF0,_AngleOffNose@4,97
0x00411B60,_AnglesOffNose@16,112
0x00411BD0,_Clock@16,134
0x00411C60,@Checksum@8,68
0x00411CB0,_Octant@8,86
0x00411D10,_RotatedOffset@20,42
0x00411D40,_RotatedOffsetF24@20,154
0x00411DE0,@FeetToNM@8,23
0x00411E00,_InBounds@8,52
0x00411E40,_InBounds3@8,70
0x00411E90,_BoundsAnd@8,99
0x00411F00,@PutFakeKey@4,32
0x00411F20,_GetFakeKey@0,35
0x00411F50,_SpeedToXYZ@12,104
0x00411FC0,_DistToObj@8,33
0x00411FF0,@Vertical@4,50
0x00412030,@NextString@8,38
0x00412060,_MaybeExitToDOS@0,89
0x004120C0,_Move3d@16,138
0x00412150,@Strend@4,23
0x00412170,_PointInBox@8,86
0x004121D0,_Strncpy@12,34
0x00412200,_DistToLine@12,314
0x00412340,@SortObjs@8,137
0x00412480,_InterpAngle@16,93
0x004124E0,@SampleInit@8,98
0x00412550,@SampleShutdown@4,20
0x00412570,@SampleUpdate@8,71
0x004125C0,_SampleGet@12,433
0x00412780,@SpeedOfSound@4,41
0x004127B0,_ScreenDump@0,374
0x00412930,_WaitKey,35
0x00412960,_GetKey,50
0x004129A0,_PrintShapeName@0,1
0x004129B0,_GetRotatedOffsetF24@12,96
0x00412A10,@ObjRadius@4,24
0x00412A30,@SetHShake@8,47
0x00412A60,@SetVShake@8,47
0x00412A90,@ButtonSound@4,33
0x00412B00,@StringIsNumber@4,79
0x00412B50,@StringToNumber@4,190
0x00412C10,?PlaySeq@@YGDPADJJ@Z,149
0x00412CB0,_NearestObj@16,235
0x00412DA0,_LimitAngle@12,66
0x00412DF0,?CompareMemory@@YAHPBX0I@Z,47
0x00412E20,FUN_00412e20,76
0x00412FC0,_cdpath,340
0x00413120,_CHATInit@0,44
0x00413151,FUN_00413151,611
0x004133C0,@CHATKey@4,1272
0x004138C0,FUN_004138c0,76
0x00413920,FUN_00413920,63
0x00413960,FUN_00413960,489
0x00413B60,_CHATGetEditLine@0,143
0x00413BF0,_CHATEndMission@0,33
0x00413C20,_CHATFixKeyarray@0,72
0x00413C70,?TVKey@@YIGG@Z,159
0x00413D10,_SlewKey,850
0x004140A0,@SetPlayerTarget@4,31
0x004140C0,@TargetNearestTo@12,177
0x00414180,@GetTargetPositions@4,72
0x004141D0,_Targetable@16,531
0x004143F0,@SetPlayerContact@4,17
0x00414410,@ContactNearestTo@12,148
0x004144B0,@GetContactPositions@4,83
0x00414510,?MessagesToPlayer@@YAHXZ,379
0x00414690,@FlightKey@4,5724
0x00415E30,FUN_00415e30,321
0x00415F80,FUN_00415f80,195
0x00416050,FUN_00416050,235
0x00416140,FUN_00416140,182
0x00416200,FUN_00416200,192
0x004162C0,FUN_004162c0,192
0x00416380,@SetAutopilot@8,99
0x004163F0,FUN_004163f0,127
0x00416470,@ForceAutopilot@4,32
0x00416490,_RestoreAutopilot@0,30
0x004164B0,_ServicePlayer@0,3079
0x004170C0,FUN_004170c0,133
0x00417150,FUN_00417150,990
0x00417530,FUN_00417530,237
0x00417620,FUN_00417620,112
0x00417690,FUN_00417690,12
0x0041769C,FUN_0041769c,176
0x00417760,_InitPlayerControl@0,236
0x00417850,_InputCalibrate,43
0x00417880,_GetPlayerControl@0,75
0x004178D0,?KeyStick@@YAGFG@Z,319
0x00417F00,_Slew@16,357
0x00418070,_MSGInit@0,40
0x004180A0,_MSGSend@32,1279
0x004185A0,_MSGReceive@8,309
0x004186E0,_MSGHide@0,37
0x00418710,_MSGPop@0,29
0x00418730,_MSGMultiCanGet@0,14
0x0041873E,FUN_0041873e,167
0x004187F0,@MSGMultiGet@4,138
0x00418880,_MSGSendChatter@24,352
0x004189E0,_MSGRemoveCurObj@0,45
0x00418A10,@MSGRemoveSecondaries@4,56
0x00418A50,FUN_00418a50,547
0x00419210,FUN_00419210,350
0x00419390,FUN_00419390,211
0x004197D0,@ArmPlane@4,11115
0x0041C3A9,FUN_0041c3a9,174
0x0041C460,FUN_0041c460,129
0x0041C4F0,FUN_0041c4f0,154
0x0041C590,FUN_0041c590,124
0x0041C610,FUN_0041c610,231
0x0041C700,FUN_0041c700,140
0x0041C790,FUN_0041c790,141
0x0041C820,_NamesShutdown@0,25
0x0041C840,@GetNames@4,3390
0x0041D580,FUN_0041d580,189
0x0041D640,FUN_0041d640,38
0x0041D670,FUN_0041d670,128
0x0041D6F0,FUN_0041d6f0,42
0x0041D720,_FreeNames@0,22
0x0041D740,?CreateSingleton@CDirDraw@@SAHXZ,150
0x0041D7ED,FUN_0041d7ed,8
0x0041D800,?DeleteSingleton@CDirDraw@@SAXXZ,124
0x0041D886,FUN_0041d886,8
0x0041D890,FUN_0041d890,99
0x0041D8FD,FUN_0041d8fd,8
0x0041D910,?Create@CDirDraw@@QAEHPAX@Z,193
0x0041D9DB,FUN_0041d9db,8
0x0041D9F0,?SetDisplayMode@CDirDraw@@QAEHKKK@Z,40
0x0041DA20,?SetDisplayModeFromMain@CDirDraw@@QAEHKKK@Z,675
0x0041DCCD,FUN_0041dccd,8
0x0041DCE0,?CreateSurface@CDirDraw@@IAEPAVCDirDrawSurface@@PAU_DDSURFACEDESC@@@Z,168
0x0041DDA0,?CreatePrimarySurface@CDirDraw@@QAEPAVCDirDrawSurface@@W4T_MODE@@@Z,113
0x0041DE20,?CreateSecondarySurface@CDirDraw@@QAEPAVCDirDrawSurface@@GG@Z,85
0x0041DEB0,?Destroy@CDirDraw@@QAEXXZ,133
0x0041DF3F,FUN_0041df3f,8
0x0041DF50,?SetCooperativeLevel@CDirDraw@@QAEHK@Z,140
0x0041DFE6,FUN_0041dfe6,8
0x0041DFF0,?GetDriverCaps@CDirDraw@@QAEPBU_DDCAPS@@XZ,20
0x0041E060,?WaitForVerticalBlank@CDirDraw@@QAEXK@Z,47
0x0041E090,?EnumDisplayModes@CDirDraw@@QAEKXZ,141
0x0041E127,FUN_0041e127,8
0x0041E130,?ModeCallback@@YGJPAU_DDSURFACEDESC@@PAX@Z,437
0x0041E2F0,?Destroy@CDirDraw@@QAEXXZ,5
0x0041E300,?ShowDDError@CDirDraw@@SAXJ@Z,1
0x0041E310,?ddECS@CDirDraw@@SAXXZ,21
0x0041E330,?ddLCS@CDirDraw@@SAXXZ,21
0x0041E350,FUN_0041e350,12
0x0041E360,?ddLCS@CDirDraw@@SAXXZ,5
0x0041E370,_SetConfig@12,768
0x0041E6D0,FUN_0041e6d0,284
0x0041E7F0,FUN_0041e7f0,67
0x0041E840,?atohb@@YADPADPAEH@Z,156
0x0041E8E0,_WriteConfig,5
0x0041E8F0,?IsBrentDLL@@YIDPAX@Z,22
0x0041E910,_IsDLL@4,122
0x0041E990,?VAToPtrInFile@@YGPAXPAU_IMAGE_DOS_HEADER@@JPAPAUSECTION_INFO@@@Z,240
0x0041EA80,?FindSection@@YGXPAU_IMAGE_DOS_HEADER@@PADPAUSECTION_INFO@@@Z,209
0x0041EB60,_LoadDLL@16,911
0x0041EEF0,FUN_0041eef0,20
0x0041EF10,FUN_0041ef10,443
0x0041F0D0,FUN_0041f0d0,156
0x0041F170,FUN_0041f170,193
0x0041F240,?LoadBrentDLL@@YGPAUT_HANDLE@@PAEPAU1@F@Z,1276
0x0041F740,FUN_0041f740,67
0x0041F790,FUN_0041f790,16
0x0041F7A0,FUN_0041f7a0,62
0x0041F7E0,FUN_0041f7e0,25
0x0041F800,FUN_0041f800,39
0x0041F830,@FortMultiButton@8,15
0x0041F840,@FortMultiButtonText@8,143
0x0041F8D0,FUN_0041f8d0,309
0x0041FB60,_FortMission@4,3075
0x00420790,FUN_00420790,37
0x004207C0,FUN_004207c0,49
0x00420800,FUN_00420800,39
0x00420830,FUN_00420830,629
0x00420AB0,FUN_00420ab0,20
0x00420AD0,FUN_00420ad0,65
0x00420B20,FUN_00420b20,129
0x00420BB0,FUN_00420bb0,1503
0x004211C0,FUN_004211c0,753
0x004214C0,FUN_004214c0,91
0x00421520,FUN_00421520,57
0x00421560,FUN_00421560,300
0x004216C0,FUN_004216c0,474
0x004218A0,FUN_004218a0,124
0x00421920,FUN_00421920,1
0x00421930,FUN_00421930,127
0x004219B0,_StopCobraSound@0,17
0x004219D0,_StartCobraSound@0,127
0x00421A50,_PlayCobra@4,531
0x00421C70,_ZONEInit@0,10
0x00421D40,FUN_00421d40,138
0x00421DD0,_ZONEUpdate@0,16
0x00421DE0,FUN_00421de0,797
0x00422120,FUN_00422120,106
0x00422190,FUN_00422190,64
0x004221D0,@MAPObjAlts@4,86
0x00422230,FUN_00422230,202
0x00422300,@MAPSetSide@4,25
0x00422320,@MAPMaybeSetControl@8,45
0x00422350,FUN_00422350,36
0x00422380,?MAPWorldToScreen@@YIXPAUF24_POINT3@@PAUWORD_POINT@@@Z,62
0x004223BE,?MAPDrawGrid@@YGXXZ,245
0x004224B3,FUN_004224b3,59
0x004224EE,?MAPDrawBG@@YGXXZ,124
0x0042256A,FUN_0042256a,106
0x004225D4,FUN_004225d4,147
0x00422667,FUN_00422667,24
0x0042267F,@MAPUpdateWPPtrs@8,76
0x004226CB,FUN_004226cb,35
0x004226EE,FUN_004226ee,2
0x004226F0,@MAPSetNewWP@8,189
0x004227AD,@MAPMaybeClearSelWP@8,123
0x00422828,FUN_00422828,24
0x00422840,FUN_00422840,17
0x00422851,?MAPDrawSpecials@@YGXXZ,301
0x0042297E,FUN_0042297e,143
0x00422A0D,?MAPOnSpecial@@YIFPAUWORD_POINT@@@Z,100
0x00422A71,FUN_00422a71,5142
0x00423ED4,FUN_00423ed4,85
0x00423F30,FUN_00423f30,95
0x00423F90,FUN_00423f90,51
0x00423FD0,FUN_00423fd0,102
0x00424040,FUN_00424040,131
0x004240D0,FUN_004240d0,197
0x004241A0,FUN_004241a0,41
0x004241D0,FUN_004241d0,78
0x00424220,FUN_00424220,103
0x00424290,FUN_00424290,3
0x004242A0,FUN_004242a0,2866
0x00424DE0,FUN_00424de0,117
0x00424E60,FUN_00424e60,86
0x00424EC0,FUN_00424ec0,87
0x00424F20,FUN_00424f20,131
0x00424FA3,FUN_00424fa3,128
0x00425023,FUN_00425023,79
0x00425072,FUN_00425072,36
0x00425096,FUN_00425096,56
0x004250CE,FUN_004250ce,200
0x00425196,FUN_00425196,179
0x00425249,FUN_00425249,225
0x0042532A,FUN_0042532a,46
0x00425358,FUN_00425358,1520
0x00425948,FUN_00425948,327
0x00425A8F,FUN_00425a8f,62
0x00425ACD,FUN_00425acd,190
0x00425B8B,FUN_00425b8b,127
0x00425C0A,FUN_00425c0a,109
0x00425C77,FUN_00425c77,1536
0x00426277,FUN_00426277,103
0x004262DE,FUN_004262de,71
0x00426325,FUN_00426325,362
0x0042648F,FUN_0042648f,254
0x0042658D,FUN_0042658d,52
0x004265C1,FUN_004265c1,213
0x00426696,FUN_00426696,334
0x004267E4,FUN_004267e4,743
0x00426ACB,FUN_00426acb,158
0x00426B70,FUN_00426b70,128
0x00426BF0,FUN_00426bf0,85
0x00426C45,FUN_00426c45,40
0x00426C6D,FUN_00426c6d,256
0x00426D6D,FUN_00426d6d,43
0x00426D98,FUN_00426d98,74
0x00426DE2,FUN_00426de2,85
0x00426E37,FUN_00426e37,862
0x00427195,FUN_00427195,88
0x004271ED,FUN_004271ed,1203
0x004276A0,FUN_004276a0,73
0x004276E9,FUN_004276e9,56
0x00427721,FUN_00427721,72
0x00427769,FUN_00427769,2676
0x004281DD,FUN_004281dd,139
0x00428270,FUN_00428270,83
0x004282D0,FUN_004282d0,102
0x00428340,FUN_00428340,210
0x00428412,FUN_00428412,184
0x004284CA,FUN_004284ca,416
0x0042866A,FUN_0042866a,900
0x004289EE,FUN_004289ee,77
0x00428A3B,FUN_00428a3b,180
0x00428AEF,FUN_00428aef,1878
0x00429245,FUN_00429245,141
0x004292D2,FUN_004292d2,122
0x0042934C,FUN_0042934c,2706
0x00429DDE,FUN_00429dde,1944
0x0042A656,FUN_0042a656,196
0x0042A71A,FUN_0042a71a,102
0x0042A780,FUN_0042a780,442
0x0042A93A,FUN_0042a93a,138
0x0042A9C4,FUN_0042a9c4,140
0x0042AA50,FUN_0042aa50,140
0x0042AADC,FUN_0042aadc,140
0x0042AB68,FUN_0042ab68,140
0x0042ABF4,FUN_0042abf4,140
0x0042AC80,FUN_0042ac80,181
0x0042AD35,FUN_0042ad35,266
0x0042AE3F,FUN_0042ae3f,160
0x0042AEDF,FUN_0042aedf,167
0x0042AF86,FUN_0042af86,208
0x0042B056,FUN_0042b056,160
0x0042B0F6,FUN_0042b0f6,167
0x0042B19D,FUN_0042b19d,216
0x0042B275,FUN_0042b275,58
0x0042B800,_Collision@56,1326
0x0042BD30,@COLSetAngle@8,129
0x0042BDC0,FUN_0042bdc0,8
0x0042BDC8,FUN_0042bdc8,497
0x0042BFC0,FUN_0042bfc0,480
0x0042C1A0,FUN_0042c1a0,627
0x0042C420,FUN_0042c420,1051
0x0042C840,FUN_0042c840,360
0x0042C9B0,FUN_0042c9b0,1662
0x0042D050,FUN_0042d050,3394
0x0042DDA0,?COLFlatGround@@YIDJPAUF24_POINT3@@00@Z,189
0x0042DE60,FUN_0042de60,288
0x0042DF80,@COLPitchToAvoidTerrain@0,310
0x0042E0C0,_COLGetInfo@4,52
0x0042E100,@COLGetBox@8,52
0x0042E1D0,FUN_0042e1d0,775
0x0042E4E0,@COLTerrainBlocking@4,79
0x0042E530,@COLInit@0,13
0x0042E540,@COLAddObj@0,127
0x0042E5C0,@COLRemoveCurObj@0,185
0x0042E680,@QuickMultiButton@8,15
0x0042E690,@QuickMultiButtonText@8,130
0x0042E720,FUN_0042e720,329
0x0042E9A0,_QuickMission@4,2356
0x0042F2E0,FUN_0042f2e0,1431
0x0042F880,FUN_0042f880,128
0x0042F900,FUN_0042f900,129
0x0042F990,FUN_0042f990,993
0x0042FDE0,FUN_0042fde0,753
0x004300E0,FUN_004300e0,109
0x00430150,FUN_00430150,73
0x004301A0,FUN_004301a0,1065
0x00430680,FUN_00430680,540
0x004308A0,FUN_004308a0,345
0x00430A00,FUN_00430a00,132
0x00430A90,FUN_00430a90,3888
0x00431A20,FUN_00431a20,133
0x00431AB0,FUN_00431ab0,1844
0x00432210,FUN_00432210,46
0x00432240,FUN_00432240,913
0x004325E0,FUN_004325e0,40
0x00432610,FUN_00432610,207
0x004326E0,FUN_004326e0,26
0x00432700,FUN_00432700,116
0x00432780,FUN_00432780,26
0x004327A0,FUN_004327a0,26
0x004327C0,FUN_004327c0,33
0x004327F0,FUN_004327f0,95
0x00432850,FUN_00432850,73
0x004328B0,?InitMusic@@YIXXZ,104
0x00432920,?ShutDownMidi@@YIXXZ,128
0x004329A0,?DMusicOn@@YIXPADF@Z,52
0x004329E0,?MusicOn@@YIXPADF@Z,153
0x00432A90,?SoundActive@@YAFFF@Z,171
0x00432B40,?MusicVolume@@YIXG@Z,131
0x00432BD0,?DMusicOff@@YIXXZ,37
0x00432C00,?MusicOff@@YIXXZ,43
0x00432C30,?ScoreOn@@YIXPAXD@Z,59
0x00432C70,?ScoreOff@@YIXXZ,40
0x00432CA0,?ScoreUpdate@@YIXXZ,11
0x00432CAB,FUN_00432cab,680
0x00432F70,?ScorePlaying@@YIDXZ,11
0x00432F80,?ShellMusicUpdate@@YIXJ@Z,11
0x00432F8B,FUN_00432f8b,461
0x00433170,?ShellMusic@@YAXD@Z,10
0x00433180,?InitSound@@YIXXZ,255
0x00433280,?ShutDownSndDriver@@YIXXZ,111
0x00433300,?InitMixer@@YIFXZ,378
0x00433480,?SoundPoints@@YIXXZ,67
0x004334D0,?SoundNoMixer@@YGFPADFF@Z,173
0x00433580,?SingleSound@@YGFPADFEF@Z,62
0x004335C0,@BasicSound@8,43
0x00433640,?LoopSound@@YGFPADFEF@Z,62
