va,name,xref_count,subsystems
0x0042BA02,caseD_23,1,ip
0x0042BA0D,caseD_2b,1,ip
0x0042BA15,caseD_2d,1,ip
0x0042BA1D,caseD_30,1,ip
0x0042BA25,caseD_3,1,ip
0x0042BA6B,caseD_4,1,ip
0x0042BA72,caseD_5,1,ip
0x0042BAAB,caseD_6,1,ip
0x0042BAC9,caseD_49,1,ip
0x0042BAF3,caseD_0,1,ip
0x0042BB4E,default,25,ip
0x0042BB75,caseD_68,1,ip
0x0042BB7A,caseD_6c,1,ip
0x0042BB7F,caseD_77,1,ip
0x0042BB87,caseD_7,1,ip
0x0042BBA5,caseD_43,1,ip
0x0042BBB3,caseD_63,2,ip
0x0042BBF4,caseD_45,1,ip
0x0042BBFF,caseD_65,1,ip
0x0042BC1C,caseD_53,1,ip
0x0042BC2A,caseD_73,2,ip
0x0042BC92,caseD_5a,1,ip
0x0042BCFE,caseD_64,1,ip
0x0042BD0B,caseD_6e,1,ip
0x0042BD3B,caseD_6f,1,ip
0x0042BD53,caseD_70,1,ip
0x0042BD58,caseD_58,1,ip
0x0042BDAC,caseD_75,1,ip
0x0042BDB6,caseD_78,1,ip
0x0042C053,caseD_44,12,ip
0x0042C1B8,switchdataD_0042c1b8,1,ip
0x0042C1D0,<unnamed>,1,ip
0x0042C1D8,switchdataD_0042c1d8,1,ip
0x0042C204,switchdataD_0042c204,1,ip
0x0042C248,switchdataD_0042c248,1,ip
0x0042E8CD,caseD_2c,2,ip
0x0042E8D4,caseD_2b,1,ip
0x0042E8F4,caseD_44,1,ip
0x0042E905,caseD_52,1,ip
0x0042E917,caseD_53,1,ip
0x0042E929,caseD_54,1,ip
0x0042E93A,caseD_62,1,ip
0x0042E94B,caseD_63,1,ip
0x0042E960,caseD_6e,1,ip
0x0042E975,caseD_74,1,ip
0x0042E9DC,switchdataD_0042e9dc,1,ip
0x0042EA04,switchdataD_0042ea04,1,ip
0x00432B36,caseD_1,1,ip
0x00432B3D,caseD_2,1,ip
0x00432B44,caseD_3,1,ip
0x00432B4B,caseD_4,1,ip
0x00432B52,caseD_7,1,ip
